,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,0.8682478528633369,0.8646378131396788,0.8637681906224661,0.8632229025544076,0.8633053640408697,0.8634861482336992,0.9546895090232831,1.279394415634335
1,Plain_w200_Exp_w200,0.894715419221103,0.8927496015255572,0.8931748145391306,0.8937518642529019,0.8947267252424697,0.8952426096321504,0.9546895090232831,1.0053575109516326
2,Plain_w200_Exp_wAll,0.8751106478128312,0.8730956150418101,0.8731395940107581,0.8733928331091024,0.8740099421747483,0.8743118941000803,0.9546895090232831,1.0193465002368056
3,Plain_w200_Linear_w200,0.8823203207631323,0.882257550102853,0.882315751738994,0.882379519723516,0.8824689266770133,0.8825167964634564,0.9546895090232831,0.9513857237041446
4,Plain_w200_Linear_wAll,0.856904685872724,0.8548657984800564,0.8545686539050057,0.8545531784684257,0.8549479920598396,0.8552187847687739,0.9546895090232831,1.1935570884449251
5,Plain_wAll_Exp_w200,0.8788663620701739,0.8735608501383207,0.8729771275768806,0.8726472665738095,0.8730385857187395,0.8733876766409439,1.279394415634335,1.0053575109516326
6,Plain_wAll_Exp_wAll,0.8777216571679399,0.8718497541992001,0.8702957673865872,0.8688922439018532,0.8680031289747248,0.8677679794054772,1.279394415634335,1.0193465002368056
7,Plain_wAll_Linear_w200,0.867383312745583,0.8635498401063085,0.8625973262184891,0.8619992675899256,0.8620736015090209,0.8622427193131014,1.279394415634335,0.9513857237041446
8,Plain_wAll_Linear_wAll,0.8940791015121068,0.8921695846438192,0.8916898603579204,0.891214586195083,0.8909089096040257,0.8907995087208723,1.279394415634335,1.1935570884449251
9,Exp_w200_Exp_wAll,0.90161629618876,0.8999396058035716,0.9003756834608472,0.9010580502609477,0.9020354478308654,0.9025096915096213,1.0053575109516326,1.0193465002368056
10,Exp_w200_Linear_w200,0.8986967213127407,0.8973909783723837,0.89780278260167,0.8983902323747741,0.8992692568949266,0.8997109404660598,1.0053575109516326,0.9513857237041446
11,Exp_w200_Linear_wAll,0.8662839878948937,0.8622238329718056,0.8621050110192907,0.8621054409266288,0.8626497264560485,0.8629886711375495,1.0053575109516326,1.1935570884449251
12,Exp_wAll_Linear_w200,0.8788578575821658,0.8773417712957996,0.8774541082719741,0.877783510186832,0.8783882390035898,0.8786559796348199,1.0193465002368056,0.9513857237041446
13,Exp_wAll_Linear_wAll,0.8679827377207527,0.8635706351369211,0.8626212346260397,0.8616810914042167,0.86119240226587,0.8610913108451195,1.0193465002368056,1.1935570884449251
14,Linear_w200_Linear_wAll,0.8560510705927226,0.8538271636711561,0.8534988632453769,0.8534301288801387,0.8538225586060975,0.8540754156651456,0.9513857237041446,1.1935570884449251
