,info,window_size_1_RMSE,window_size_2_RMSE,window_size_3_RMSE,window_size_5_RMSE,window_size_10_RMSE,window_size_15_RMSE,No_weighted_LGBM_1_RMSE,No_weighted_LGBM_2_RMSE
0,Plain_w200_Plain_wAll,1.273586050385026,1.0433562784121124,1.080764639243793,1.069775439166554,1.067382060137957,1.0689823476003202,0.9154780761884759,1.1774168530989881
1,Plain_w200_Exp_w200,1.2405601336145815,1.0272918929589379,1.0648920114075624,1.054001912722237,1.0509387748794923,1.052261814363312,0.9154780761884759,0.9789123013220792
2,Plain_w200_Exp_wAll,1.273349916886059,1.0449222767337971,1.081848518614185,1.070707263448369,1.0680671512693551,1.0696972429991696,0.9154780761884759,0.9778456709512934
3,Plain_w200_Linear_w200,1.2523634392675456,1.0392479132384334,1.078422747811998,1.0676652761744851,1.0645944476205766,1.066108592855854,0.9154780761884759,0.9108567753934912
4,Plain_w200_Linear_wAll,1.2760454536513934,1.0439929245872392,1.0804949841508824,1.0692105018003146,1.0666223371011962,1.068247436619101,0.9154780761884759,1.1035302175020887
5,Plain_wAll_Exp_w200,1.2664968418151974,1.0405876250344692,1.076925170508652,1.0654029375708403,1.0623608715392043,1.0633897168473918,1.1774168530989881,0.9789123013220792
6,Plain_wAll_Exp_wAll,1.3387982909696232,1.1062056209773268,1.1456116929241025,1.13229242169479,1.127842513165455,1.1285022905924194,1.1774168530989881,0.9778456709512934
7,Plain_wAll_Linear_w200,1.2748454508859879,1.0450521588682127,1.0824958336278914,1.0714416691097919,1.0690409846354996,1.070685953513521,1.1774168530989881,0.9108567753934912
8,Plain_wAll_Linear_wAll,1.378469795936331,1.1405978931582423,1.1801593144148235,1.1653396812638215,1.1593725251701008,1.1598448003705244,1.1774168530989881,1.1035302175020887
9,Exp_w200_Exp_wAll,1.277094628916029,1.0487594726150795,1.0836663220335232,1.071360898637932,1.0677969993784362,1.0686559221243581,0.9789123013220792,0.9778456709512934
10,Exp_w200_Linear_w200,1.244172050058186,1.0303962288908068,1.067957544186028,1.0568777890631853,1.0537156870659308,1.0550169291472025,0.9789123013220792,0.9108567753934912
11,Exp_w200_Linear_wAll,1.2686523139631007,1.0419963058771906,1.077809170012963,1.066160173731938,1.0630328669328333,1.0640847495721764,0.9789123013220792,1.1035302175020887
12,Exp_wAll_Linear_w200,1.2779772535128804,1.0487380205079737,1.085430685524585,1.0739963337833072,1.0712054179718336,1.072850225143805,0.9778456709512934,0.9108567753934912
13,Exp_wAll_Linear_wAll,1.3458882973057629,1.1127384143273478,1.15204145248888,1.1387455088233336,1.1341425329602888,1.1348497870925227,0.9778456709512934,1.1035302175020887
14,Linear_w200_Linear_wAll,1.2776044152307087,1.0460493030594944,1.082609404170175,1.0712281533048862,1.0686358650360388,1.07029435312954,0.9108567753934912,1.1035302175020887
